Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,Trust Factor,User_Attention
23:30:12,1293,99,35,82,0,1,1
23:30:13,1294,99,34,82,0,1,1
23:30:14,1295,99,34,82,0,1,1
23:30:15,1296,99,35,82,0,1,1
23:30:16,1297,99,36,82,0,1,1
23:30:17,1298,99,33,82,0,1,1
23:30:18,1299,99,35,82,0,1,1
23:30:19,1300,99,36,82,0,1,1
23:30:20,1301,99,33,82,0,1,1
23:30:21,1302,99,33,82,0,1,1
23:30:22,1303,99,35,82,0,1,1
23:30:23,1304,99,36,82,0,1,1
23:30:24,1305,99,32,82,0,1,1
23:30:25,1306,99,33,82,0,1,1
23:30:26,1307,99,35,82,0,1,1
23:30:27,1308,99,34,82,0,1,1
23:30:28,1309,99,35,82,0,1,1
23:30:29,1310,99,32,82,0,1,1
23:30:30,1311,90,34,82,0,1,1
23:30:31,1312,90,35,82,0,1,1
23:30:32,1313,90,32,82,0,1,1
23:30:33,1314,90,35,82,0,1,1
23:30:34,1315,90,35,82,0,1,1
23:30:35,1316,90,35,82,0,1,1
23:30:36,1317,90,35,82,0,1,1
23:30:37,1318,90,35,82,0,1,1
23:30:38,1319,90,34,82,0,1,1
23:30:39,1320,90,35,82,0,1,1
23:30:40,1321,88,36,82,0,1,1
23:30:41,1322,88,39,82,0,1,1
23:30:42,1323,88,41,82,0,1,1
23:30:43,1324,88,38,82,0,1,1
23:30:44,1325,88,39,82,0,1,1
23:30:45,1326,88,39,82,0,1,1
23:30:46,1327,88,41,82,0,1,1
23:30:47,1328,88,38,82,0,1,1
23:30:48,1329,88,39,82,0,1,1
23:30:49,1330,88,38,82,0,1,1
23:30:50,1331,87,37,82,0,1,1
23:30:51,1332,87,37,82,0,1,1
23:30:52,1333,87,35,82,0,1,1
23:30:53,1334,87,35,82,0,1,1
23:30:54,1335,87,35,82,0,1,1
23:30:55,1336,87,33,82,0,1,1
23:30:56,1337,87,36,82,0,1,1
23:30:57,1338,87,35,82,0,1,1
23:30:58,1339,87,36,82,0,1,1
23:30:59,1340,87,37,82,0,1,1
23:31:00,1341,82,35,82,0,1,1
23:31:01,1342,82,34,82,0,1,1
23:31:02,1343,82,37,82,0,1,1
23:31:03,1344,82,37,82,0,1,1
23:31:04,1345,82,34,82,0,1,1
23:31:05,1346,82,36,82,0,1,1
23:31:06,1347,82,37,82,0,1,1
23:31:07,1348,82,35,82,0,1,1
23:31:08,1349,82,37,82,0,1,1
23:31:09,1350,82,36,82,0,1,1
23:31:10,1351,82,36,82,0,1,1
23:31:11,1352,82,36,82,0,1,1
23:31:12,1353,82,36,82,0,1,1
23:31:13,1354,82,36,82,0,1,1
23:31:14,1355,82,38,82,0,1,1
23:31:15,1356,82,36,82,0,1,1
23:31:16,1357,82,35,82,0,1,1
23:31:17,1358,82,37,82,0,1,1
23:31:18,1359,82,37,82,0,1,1
23:31:19,1360,82,35,82,0,1,1
23:31:20,1361,82,37,82,0,1,1
23:31:21,1362,82,37,82,0,1,1
23:31:22,1363,82,36,82,0,1,1
23:31:23,1364,82,37,82,0,1,1
23:31:24,1365,82,36,82,0,1,1
23:31:25,1366,82,36,82,0,1,1
23:31:26,1367,82,39,82,0,1,1
23:31:27,1368,82,38,82,0,1,1
23:31:28,1369,82,35,82,0,1,1
23:31:29,1370,82,36,82,0,1,1
23:31:30,1371,82,36,82,0,1,1
23:31:31,1372,82,34,82,0,1,1
23:31:32,1373,82,36,82,0,1,1
23:31:33,1374,84,36,82,0,1,1
23:31:34,1375,85,33,82,0,1,1
23:31:35,1376,87,36,82,0,1,1
23:31:36,1377,87,35,82,0,1,1
23:31:37,1378,87,33,82,0,1,1
23:31:38,1379,87,34,82,0,1,1
23:31:39,1380,87,34,82,0,1,1
23:31:40,1381,87,33,82,0,1,1
23:31:41,1382,87,35,82,0,1,1
23:31:42,1383,87,35,82,0,1,1
23:31:43,1384,87,34,82,0,1,1
23:31:44,1385,87,36,82,0,1,1
23:31:45,1386,87,33,82,0,1,1
23:31:46,1387,87,34,82,0,1,1
23:31:47,1388,87,37,82,0,1,1
23:31:48,1389,87,36,82,0,1,1
23:31:49,1390,87,33,82,0,1,1
23:31:50,1391,90,36,82,0,1,1
23:31:51,1392,90,37,82,0,1,1
23:31:52,1393,90,36,82,0,1,1
23:31:53,1394,90,35,82,0,1,1
23:31:54,1395,90,36,82,0,1,1
23:31:55,1396,90,35,82,0,1,1
23:31:56,1397,90,35,82,0,1,1
23:31:57,1398,95,36,82,0,1,1
23:31:58,1399,95,35,82,0,1,1
23:31:59,1400,95,36,82,0,1,1
23:32:00,1401,95,36,82,0,1,1
23:32:01,1402,95,36,82,0,1,1
23:32:02,1403,95,38,82,0,1,1
23:32:03,1404,95,37,82,0,1,1
23:32:04,1405,95,38,82,0,1,1
23:32:05,1406,95,39,82,0,1,1
23:32:06,1407,95,37,82,0,1,1
23:32:07,1408,95,36,82,0,1,1
23:32:08,1409,95,37,82,0,1,1
23:32:09,1410,95,37,82,0,1,1
23:32:10,1411,94,35,82,0,1,1
23:32:11,1412,94,36,82,0,1,1
23:32:12,1413,94,37,82,0,1,1
23:32:13,1414,94,36,82,0,1,1
23:32:14,1415,94,36,82,0,1,1
23:32:15,1416,94,37,82,0,1,1
23:32:16,1417,94,37,82,0,1,1
23:32:17,1418,94,38,82,0,1,1
23:32:18,1419,94,37,82,0,1,1
23:32:19,1420,94,38,82,0,1,1
23:32:20,1421,93,36,82,0,1,1
23:32:21,1422,93,36,82,0,1,1
23:32:22,1423,93,36,82,0,1,1
23:32:23,1424,93,36,82,0,1,1
23:32:24,1425,93,37,82,0,1,1
23:32:25,1426,93,36,82,0,1,1
23:32:26,1427,93,36,82,0,1,1
23:32:27,1428,93,37,82,0,1,1
23:32:28,1429,93,37,82,0,1,1
23:32:29,1430,93,36,82,0,1,1
23:32:30,1431,96,37,82,0,1,1
23:32:31,1432,96,38,82,0,1,1
23:32:32,1433,96,36,82,0,1,1
23:32:33,1434,96,36,82,0,1,1
23:32:34,1435,96,38,82,0,1,1
23:32:35,1436,96,36,82,0,1,1
23:32:36,1437,96,36,82,0,1,1
23:32:37,1438,96,37,82,0,1,1
23:32:38,1439,96,37,82,0,1,1
23:32:39,1440,96,36,82,0,1,1
23:32:40,1441,98,38,82,0,1,1
23:32:41,1442,98,36,82,0,1,1
23:32:42,1443,98,37,82,0,1,1
23:32:43,1444,98,37,82,0,1,1
23:32:44,1445,98,35,82,0,1,1
23:32:45,1446,98,37,82,0,1,1
23:32:46,1447,98,37,82,0,1,1
23:32:47,1448,98,36,82,0,1,1
23:32:48,1449,98,35,82,0,1,1
23:32:49,1450,98,39,82,0,1,1
23:32:50,1451,107,36,82,0,1,1
23:32:51,1452,107,35,82,0,1,1
23:32:52,1453,107,37,82,0,1,1
23:32:53,1454,107,37,82,0,1,1
23:32:54,1455,107,35,82,0,1,1
23:32:55,1456,107,38,82,0,1,1
23:32:56,1457,107,38,82,0,1,1
23:32:57,1458,107,36,82,0,1,1
23:32:58,1459,107,36,82,0,1,1
23:32:59,1460,107,35,82,0,1,1
