Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active
18:14:13,1102,66,32,31,0
18:14:14,1103,66,34,31,0
18:14:15,1104,66,33,31,0
18:14:16,1105,66,34,31,0
18:14:17,1106,66,36,31,0
18:14:18,1107,65,36,16,0
18:14:19,1108,65,35,18,0
18:14:20,1109,66,36,18,0
18:14:21,1110,66,36,18,0
18:14:22,1111,66,36,18,0
18:14:23,1112,65,41,18,0
18:14:24,1113,65,36,20,0
18:14:25,1114,65,38,20,0
18:14:26,1115,65,39,20,0
18:14:27,1116,65,35,18,0
18:15:11,1117,65,35,19,0
18:15:12,1118,65,36,19,0
18:15:13,1119,64,38,19,0
18:15:14,1120,64,38,19,0
18:15:15,1121,64,50,138,0
18:15:16,1122,64,58,53,0
18:15:17,1123,64,40,53,0
18:15:18,1124,64,36,53,0
18:15:19,1125,64,35,53,0
18:15:20,1126,65,46,53,0
18:15:21,1127,65,34,53,0
18:15:22,1128,65,34,53,0
18:15:23,1129,65,34,53,0
18:15:24,1130,65,35,53,0
18:15:25,1131,65,38,53,0
18:15:26,1132,65,38,53,0
18:15:27,1133,65,36,53,0
18:15:28,1134,65,38,53,0
18:15:29,1135,68,35,53,0
18:15:30,1136,69,35,53,0
18:15:31,1137,69,35,53,0
18:15:32,1138,69,34,53,0
18:15:33,1139,69,35,53,0
18:15:34,1140,69,35,53,0
18:15:35,1141,69,34,53,0
18:15:36,1142,67,37,53,0
18:15:37,1143,67,32,53,0
18:15:38,1144,67,32,53,0
18:15:39,1145,65,32,53,0
18:15:40,1146,65,31,53,0
18:15:41,1147,65,32,53,0
18:15:42,1148,63,31,53,0
18:15:43,1149,63,31,53,0
18:15:44,1150,63,31,53,0
18:15:45,1151,63,33,53,0
18:15:46,1152,63,32,53,0
18:15:47,1153,63,33,53,0
18:15:48,1154,62,33,53,0
18:15:49,1155,62,33,53,0
18:15:50,1156,62,34,53,0
18:15:51,1157,62,33,53,0
18:15:52,1158,62,34,53,0
18:15:53,1159,62,34,53,0
18:15:54,1160,62,34,53,0
18:15:55,1161,62,34,53,0
18:15:56,1162,65,34,53,0
18:15:57,1163,65,34,53,0
18:15:58,1164,65,34,53,0
18:15:59,1165,65,34,53,0
18:16:00,1166,68,34,53,0
18:16:01,1167,68,34,53,0
18:16:02,1168,68,35,53,0
