HEART RATE DATE/TIME,VALUE
 11:49:52 PM,102
 11:49:54 PM,100
 11:49:55 PM,99
 11:49:56 PM,98
 11:49:57 PM,96
 11:50:00 PM,97
 11:50:02 PM,96
 11:50:04 PM,95
 11:50:07 PM,95
 11:50:10 PM,95
 11:50:12 PM,95
 11:50:13 PM,95
 11:50:16 PM,94
 11:50:18 PM,93
 11:50:19 PM,92
 11:50:21 PM,91
 11:50:24 PM,91
 11:50:27 PM,91
 11:50:30 PM,90
 11:50:33 PM,90
 11:50:36 PM,90
 11:50:39 PM,90
 11:50:40 PM,87
 11:50:43 PM,87
 11:50:46 PM,87
 11:50:47 PM,86
 11:50:48 PM,85
 11:50:51 PM,85
 11:50:54 PM,85
 11:50:57 PM,85
 11:51:00 PM,85
 11:51:03 PM,85
 11:51:06 PM,84
 11:51:09 PM,84
 11:51:12 PM,84
 11:51:15 PM,84
 11:51:18 PM,84
 11:51:21 PM,84
 11:51:24 PM,84
 11:51:27 PM,84
 11:51:28 PM,84
 11:51:31 PM,84
 11:51:34 PM,84
 11:51:37 PM,84
 11:51:40 PM,84
 11:51:43 PM,84
 11:51:46 PM,84
 11:51:49 PM,84
 11:51:52 PM,84
 11:52:00 PM,87
 11:52:03 PM,87
 11:52:06 PM,87
 11:52:09 PM,87
 11:52:10 PM,88
 11:52:13 PM,88
 11:52:16 PM,88
 11:52:19 PM,88
 11:52:20 PM,93
 11:52:23 PM,93
 11:52:26 PM,93
 11:52:29 PM,93
 11:52:30 PM,92
 11:52:33 PM,92
 11:52:36 PM,92
 11:52:39 PM,92
 11:52:40 PM,91
 11:52:43 PM,91
 11:52:46 PM,91
 11:52:49 PM,91
 11:52:52 PM,91
 11:52:55 PM,91
 11:52:58 PM,91
 11:53:01 PM,91
 11:53:04 PM,91
 11:53:07 PM,91
 11:53:10 PM,91
 11:53:11 PM,91
 11:53:14 PM,91
 11:53:20 PM,91
 11:53:25 PM,90
 11:53:35 PM,89
 11:53:50 PM,89
 11:54:00 PM,90
 11:54:15 PM,90
 11:54:30 PM,90
 11:54:45 PM,90
 11:55:00 PM,90
 11:55:15 PM,90
 11:57:00 PM,90
 11:57:15 PM,90
