Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention
18:03:03,432,69,51,13,0,3
18:03:04,433,69,52,13,0,3
18:03:05,434,69,54,13,0,3
18:03:06,435,69,49,13,0,3
18:03:07,436,69,66,13,0,3
18:03:08,437,69,54,13,0,3
18:03:09,438,69,48,13,0,3
18:03:10,439,69,56,13,0,3
18:03:11,440,69,45,13,0,3
18:03:12,441,69,51,13,0,3
18:03:13,442,69,46,13,0,3
18:03:14,443,69,47,13,0,3
18:03:15,444,69,52,13,0,3
18:03:16,445,69,48,13,0,3
18:03:17,446,70,52,13,0,3
18:03:18,447,70,51,13,0,3
18:03:19,448,70,53,13,0,3
18:03:20,449,70,52,13,0,3
18:03:21,450,70,52,13,0,3
18:03:22,451,70,51,13,0,3
18:03:23,452,70,51,13,0,3
18:03:24,453,70,51,13,0,3
18:03:25,454,70,51,13,0,3
18:03:26,455,70,50,13,0,3
18:03:27,456,70,53,13,0,3
18:03:28,457,70,51,13,0,3
18:03:29,458,70,50,13,0,3
18:03:30,459,69,53,13,0,3
18:03:31,460,69,55,13,0,3
18:03:32,461,69,50,13,0,3
18:03:33,462,69,52,13,0,3
18:03:34,463,69,52,13,0,3
18:03:35,464,69,54,13,0,3
18:03:36,465,69,53,13,0,3
18:03:37,466,69,50,13,0,3
18:03:38,467,69,52,13,0,3
18:03:39,468,69,55,13,0,3
18:03:40,469,65,52,13,0,3
18:03:41,470,65,53,13,0,3
18:03:42,471,65,55,13,0,3
18:03:43,472,65,51,13,0,3
18:03:44,473,65,54,13,0,3
18:03:45,474,65,49,13,0,3
18:03:46,475,65,53,13,0,3
18:03:47,476,65,52,13,0,3
18:03:48,477,65,53,13,0,3
18:03:49,478,65,47,13,0,3
18:03:50,479,65,37,13,0,3
18:03:51,480,65,45,13,0,3
18:03:52,481,65,46,13,0,3
18:03:53,482,65,50,13,0,3
18:03:54,483,65,50,13,0,3
18:03:55,484,65,50,13,0,3
18:03:56,485,65,50,13,0,3
18:03:57,486,65,50,13,0,3
18:03:58,487,65,51,13,0,3
18:03:59,488,65,50,13,0,3
18:04:00,489,57,48,13,0,3
18:04:01,490,57,52,13,0,3
18:04:02,491,57,50,13,0,3
18:04:03,492,57,47,13,0,3
18:04:04,493,57,47,13,0,3
18:04:05,494,57,53,13,0,3
18:04:06,495,57,47,13,0,3
18:04:07,496,57,51,13,0,3
18:04:08,497,57,51,13,0,3
18:04:09,498,57,51,13,0,3
18:04:10,499,58,48,13,0,3
18:04:11,500,58,51,13,0,3
18:04:12,501,58,51,13,0,3
18:04:13,502,58,52,13,0,3
18:04:14,503,58,48,13,0,3
18:04:15,504,58,50,13,0,3
18:04:16,505,58,51,13,0,3
18:04:17,506,58,51,13,0,3
18:04:18,507,58,50,13,0,3
18:04:19,508,58,52,13,0,3
18:04:20,509,58,53,13,0,3
18:04:21,510,58,52,13,0,3
18:04:22,511,58,49,13,0,3
18:04:23,512,58,44,13,0,3
18:04:24,513,58,48,13,0,3
18:04:25,514,58,48,13,0,3
18:04:26,515,58,46,13,0,3
18:04:27,516,58,48,13,0,3
18:04:28,517,58,46,13,0,3
18:04:29,518,58,46,13,0,3
18:04:30,519,61,51,13,0,3
18:04:31,520,61,47,13,0,3
18:04:32,521,61,51,13,0,3
18:04:33,522,61,51,13,0,3
18:04:34,523,61,52,13,0,3
18:04:35,524,61,52,13,0,3
18:04:36,525,61,54,13,0,3
18:04:37,526,61,45,13,0,3
18:04:38,527,61,39,13,0,3
18:04:39,528,61,35,13,0,3
18:04:40,529,63,35,13,0,3
18:04:41,530,63,36,13,0,3
18:04:42,531,63,34,13,0,3
18:04:43,532,63,36,13,0,3
18:04:44,533,63,37,13,0,3
18:04:45,534,63,34,13,0,3
18:04:46,535,63,35,13,0,3
18:04:47,536,63,36,13,0,3
18:04:48,537,63,36,13,0,3
18:04:49,538,63,33,13,0,3
18:04:50,539,65,33,13,0,3
18:04:51,540,65,34,13,0,5
18:04:52,541,65,34,13,0,5
18:04:53,542,65,33,13,0,5
18:04:54,543,65,34,13,0,5
18:04:55,544,65,33,13,0,5
18:04:56,545,65,32,13,0,5
18:04:57,546,65,33,13,0,5
18:04:58,547,65,34,13,0,5
18:04:59,548,65,34,13,0,5
18:05:00,549,67,34,13,0,5
18:05:01,550,67,35,13,0,5
18:05:02,551,67,35,13,0,5
18:05:03,552,67,35,13,0,5
18:05:04,553,67,36,13,0,5
18:05:05,554,67,34,13,0,5
18:05:06,555,67,35,13,0,5
18:05:07,556,67,34,13,0,5
18:05:08,557,67,36,13,0,5
18:05:09,558,66,37,13,0,5
18:05:10,559,66,49,13,0,5
18:05:11,560,66,52,13,0,5
18:05:12,561,66,44,13,0,5
18:05:13,562,66,45,13,0,5
18:05:14,563,66,46,13,0,5
18:05:15,564,67,49,13,0,5
18:05:16,565,67,53,13,0,5
18:05:17,566,67,48,13,0,5
18:05:18,567,67,46,13,0,5
18:05:19,568,67,48,13,0,5
18:05:20,569,67,49,13,0,5
18:05:21,570,67,48,13,0,5
18:05:22,571,67,45,13,0,5
18:05:23,572,67,43,13,0,5
18:05:24,573,67,49,13,0,5
18:05:25,574,67,49,13,0,5
18:05:26,575,67,48,13,0,5
18:05:27,576,67,39,13,0,5
18:05:28,577,67,41,13,0,5
18:05:29,578,67,48,13,0,5
18:05:30,579,67,48,13,0,5
18:05:31,580,67,49,13,0,5
18:05:32,581,67,47,13,0,5
18:05:33,582,67,45,13,0,5
18:05:34,583,67,47,13,0,5
18:05:35,584,67,41,13,0,5
